id , Name , Department , salary , note
1 , alice  , engineering , 85000 , "  promoted "
2 , BOB , data ,  , "missing salary"
3 ,  Charlie, hr , 62000 , " new hire"
4 , dIana , Engineering , 95000 , " Promoted"
5 ,  evan , finance , 68000 , "  review due"
6 , fiona , Data ,   , " pending docs"
7 , george , engineering , 105000 , "   high performer"
8 , helen , Marketing , 63000 , "  onboarded"
9 , ian , HR , 54000 , " probation"
10 , julia , engineering , 99000 , "  promoted  "
11 , karan , DATA ,   , "MISSING"
12 , lina , finance , 71000 , "  transfer"
13 , mohan , marketing , 59000 , " case study"
14 , nia , engineering , 88000 , "cleanup"
15 , omar , DATA , 83000 , "  meeting"
16 , preeti , hr , 56000 , "  updated  "
17 , quinn , Finance , 76000 , "  audit"
18 , raj , ENGINEERING , 115000 , " raise"
19 , sam , Marketing ,   , "  pending  "
20 , tara , Data , 72000 , "  ,extra comma"
21 , uma , Engineering , 90000 , "  spaces   "
22 , vikram , Finance , 70000 , " CAPS "
23 , wendy , HR , 51000 , " tabs\tinside"
24 , xavier , Data , 86000 , " newline\ninside"
25 , yara , Engineering , 93000 , "   multiple   spaces  "
